user,stimulus_order,image_a,image_b,reference_a,reference_b,choice
test1,0,images/train_2000/005.png_crop_16_0000_a.png,images/train_2000/005.png_crop_16_0000_b.png,images/train_2000/005.png_crop_16_0000_ref.png,images/train_2000/005.png_crop_16_0000_ref.png,A
test1,1,images/train_2000/005.png_crop_1780_0000_a.png,images/train_2000/005.png_crop_1780_0000_b.png,images/train_2000/005.png_crop_1780_0000_ref.png,images/train_2000/005.png_crop_1780_0000_ref.png,B
test1,2,images/train_2000/005.png_crop_2956_0000_a.png,images/train_2000/005.png_crop_2956_0000_b.png,images/train_2000/005.png_crop_2956_0000_ref.png,images/train_2000/005.png_crop_2956_0000_ref.png,A
test1,3,images/train_2000/005.png_crop_3104_0000_a.png,images/train_2000/005.png_crop_3104_0000_b.png,images/train_2000/005.png_crop_3104_0000_ref.png,images/train_2000/005.png_crop_3104_0000_ref.png,A
test1,4,images/train_2000/005.png_crop_3209_0000_a.png,images/train_2000/005.png_crop_3209_0000_b.png,images/train_2000/005.png_crop_3209_0000_ref.png,images/train_2000/005.png_crop_3209_0000_ref.png,B
test1,5,images/train_2000/005.png_crop_3519_0000_a.png,images/train_2000/005.png_crop_3519_0000_b.png,images/train_2000/005.png_crop_3519_0000_ref.png,images/train_2000/005.png_crop_3519_0000_ref.png,A
test1,6,images/train_2000/005.png_crop_3623_0000_a.png,images/train_2000/005.png_crop_3623_0000_b.png,images/train_2000/005.png_crop_3623_0000_ref.png,images/train_2000/005.png_crop_3623_0000_ref.png,B
test1,7,images/train_2000/005.png_crop_3707_0000_a.png,images/train_2000/005.png_crop_3707_0000_b.png,images/train_2000/005.png_crop_3707_0000_ref.png,images/train_2000/005.png_crop_3707_0000_ref.png,A
test1,8,images/train_2000/005.png_crop_4198_0000_a.png,images/train_2000/005.png_crop_4198_0000_b.png,images/train_2000/005.png_crop_4198_0000_ref.png,images/train_2000/005.png_crop_4198_0000_ref.png,B
test1,9,images/train_2000/005.png_crop_4210_0000_a.png,images/train_2000/005.png_crop_4210_0000_b.png,images/train_2000/005.png_crop_4210_0000_ref.png,images/train_2000/005.png_crop_4210_0000_ref.png,B
test1,10,images/train_2000/005.png_crop_624_0000_a.png,images/train_2000/005.png_crop_624_0000_b.png,images/train_2000/005.png_crop_624_0000_ref.png,images/train_2000/005.png_crop_624_0000_ref.png,A
test1,11,images/train_2000/005.png_crop_780_0000_a.png,images/train_2000/005.png_crop_780_0000_b.png,images/train_2000/005.png_crop_780_0000_ref.png,images/train_2000/005.png_crop_780_0000_ref.png,B
test1,12,images/train_2000/008.png_crop_1154_0000_a.png,images/train_2000/008.png_crop_1154_0000_b.png,images/train_2000/008.png_crop_1154_0000_ref.png,images/train_2000/008.png_crop_1154_0000_ref.png,B
test1,13,images/train_2000/008.png_crop_1224_0000_a.png,images/train_2000/008.png_crop_1224_0000_b.png,images/train_2000/008.png_crop_1224_0000_ref.png,images/train_2000/008.png_crop_1224_0000_ref.png,B
test1,14,images/train_2000/008.png_crop_1264_0000_a.png,images/train_2000/008.png_crop_1264_0000_b.png,images/train_2000/008.png_crop_1264_0000_ref.png,images/train_2000/008.png_crop_1264_0000_ref.png,A
test1,15,images/train_2000/008.png_crop_1505_0000_a.png,images/train_2000/008.png_crop_1505_0000_b.png,images/train_2000/008.png_crop_1505_0000_ref.png,images/train_2000/008.png_crop_1505_0000_ref.png,B
test1,16,images/train_2000/008.png_crop_4279_0000_a.png,images/train_2000/008.png_crop_4279_0000_b.png,images/train_2000/008.png_crop_4279_0000_ref.png,images/train_2000/008.png_crop_4279_0000_ref.png,A
test1,17,images/train_2000/008.png_crop_4344_0000_a.png,images/train_2000/008.png_crop_4344_0000_b.png,images/train_2000/008.png_crop_4344_0000_ref.png,images/train_2000/008.png_crop_4344_0000_ref.png,A
test1,18,images/train_2000/008.png_crop_4467_0000_a.png,images/train_2000/008.png_crop_4467_0000_b.png,images/train_2000/008.png_crop_4467_0000_ref.png,images/train_2000/008.png_crop_4467_0000_ref.png,B
test1,19,images/train_2000/008.png_crop_4476_0000_a.png,images/train_2000/008.png_crop_4476_0000_b.png,images/train_2000/008.png_crop_4476_0000_ref.png,images/train_2000/008.png_crop_4476_0000_ref.png,A
test1,20,images/train_2000/008.png_crop_4494_0000_a.png,images/train_2000/008.png_crop_4494_0000_b.png,images/train_2000/008.png_crop_4494_0000_ref.png,images/train_2000/008.png_crop_4494_0000_ref.png,B
test1,21,images/train_2000/008.png_crop_4625_0000_a.png,images/train_2000/008.png_crop_4625_0000_b.png,images/train_2000/008.png_crop_4625_0000_ref.png,images/train_2000/008.png_crop_4625_0000_ref.png,A
test1,22,images/train_2000/008.png_crop_4717_0000_a.png,images/train_2000/008.png_crop_4717_0000_b.png,images/train_2000/008.png_crop_4717_0000_ref.png,images/train_2000/008.png_crop_4717_0000_ref.png,B
test1,23,images/train_2000/008.png_crop_4730_0000_a.png,images/train_2000/008.png_crop_4730_0000_b.png,images/train_2000/008.png_crop_4730_0000_ref.png,images/train_2000/008.png_crop_4730_0000_ref.png,B
test1,24,images/train_2000/008.png_crop_4818_0000_a.png,images/train_2000/008.png_crop_4818_0000_b.png,images/train_2000/008.png_crop_4818_0000_ref.png,images/train_2000/008.png_crop_4818_0000_ref.png,B
test1,25,images/train_2000/008.png_crop_5090_0000_a.png,images/train_2000/008.png_crop_5090_0000_b.png,images/train_2000/008.png_crop_5090_0000_ref.png,images/train_2000/008.png_crop_5090_0000_ref.png,A
